diaries	2021-01-11	Lord, Sir, Mr., King, Duke	61	2,213,239	79	78,562,418
disease	2021-01-11	disease, case, time, form, blood	36	1,914,895	75	69,009,324
easter	2021-01-11	Ireland, Volunteers, Green, England, Dublin	10	269,413	79	12,915,527
emerson	2021-01-11	man, God, thought, like, world	7	379,550	81	17,876,010
friendship	2021-01-11	Mr., Mrs., Miss, CHAPTER, look	152	8,835,006	88	305,426,458
getting-started	2021-01-11	source, oss, library, html, chapter	1	21,729	68	4,197,089
gothic-horror	2021-01-11	little, time, God, man, look, time	112	10,638,194	83	2,967,495,243
infection	2021-01-11	SARS, COVID-19, patient, covid-19, virus	2,706	13,680,090	48	540,358,392
infection-2018	2021-01-11	virus, cell, respiratory, RSV, MERS	91	579,754	46	28,874,188
infection-china	2021-01-11	SARS, China, COVID-19, patient, CoV-2	88	307,531	48	28,495,475
infomotions	2021-01-11	source, url, description, xml, web	16	83,961	64	6,584,387
ital	2021-01-11	Skip, Library, library, Technology, PDF	55	15,258	52	10,095,264
ital-urls	2021-01-11	Library, Skip, Google, Gartner, Instagram	42	86,703	60	20,774,865
lead-pipe	2021-01-11	Library, student, pipe, library, University	69	190,341	55	12,675,609
lead-pipe-links	2021-01-11	Library, Scholar, student, work, new	174	442,331	58	60,990,625
lettuce	2021-01-11	International, international, cell, September, November	71	804,987	63	384,125,595
love-and-science	2021-01-11	great, Dr., London, England, time	18	1,912,293	63	70,668,221
love-and-war	2021-01-11	patient, COVID-19, war, time, technology	11	117,779	53	7,855,807
love-fiction	2021-01-11	Mr., Mrs., Miss, God, man	127	8,023,587	86	280,632,004
love-honor-truth-justice	2021-01-11	man, God, thing, life, nature	46	3,186,920	67	113,347,341
love-wikipedia	2021-01-11	ISBN, Wikipedia, University, PMID, Press	1,012	5,054,435	67	249,619,274
lytton	2021-01-11	Mr., Lord, man, Mrs., Sir	126	3,460,595	78	129,735,040
machine-learning	2021-01-11	datum, machine, system, library, learning	12	62,470	55	20,887,464
medline	2021-01-11	COVID-19, SARS, patient, covid-19, RNA	2,323	8,952,150	48	354,342,533
murder	2021-01-11	Mr., Mrs., Miss, Sir, Dr.	30	2,482,792	89	89,781,427
notre-dame	2021-01-11	Ireland, England, God, �, man	80	1,659,015	83	1,169,179,767
ovid	2021-01-11	thou, Venus, Note, Metamorphoses, Love	3	67,027	86	5,944,743
paris-gutenberg	2021-01-11	Paris, Madame, France, Monsieur, Rue	149	6,815,997	79	308,607,736
peppers	2021-01-11	Lord, Sir, Mr., King, Duke	62	2,221,021	79	78,861,274
planet-code4lib	2021-01-11	August, July, Library, Google, University	879	1,876,379	70	120,915,985
planet-infomotions	2021-01-11	web, Library, Perl, Great, Distant	99	865,064	69	45,734,066
rome-gutenberg	2021-01-11	Rome, roman, Italy, great, Caesar	185	11,533,749	76	465,881,825
rousseau	2021-01-11	ſo, thoſe, man, ſuch, ſhould	22	1,159,948	80	794,854,842
thanksgiving	2021-01-11	Mrs., Aunt, come, Uncle, Thanksgiving	8	273,456	82	13,746,861
thoreau	2021-01-11	year, work, wood, way, water	3	199,466	79	78,068,372
tomatoes	2021-01-11	International, international, September, November, Fig	75	845,781	63	390,771,309
trust-wikipedia	2021-01-11	ISBN, Wikipedia, PMID, University, Press	435	1,316,261	62	72,644,815
truth-and-beauty	2021-01-11	God, man, thing, life, good	150	10,957,536	67	383,081,475
unitarian-gutenberg	2021-01-11	God, New, Christianity, Church, man	9	645,976	69	28,527,796
unitarianism	2021-01-11	Lord, Jesus, Christ, God, true, God, Father, Holy, Spirit	83	5,511,689	72	2,252,620,198
virgil	2021-01-11	thy, thou, wind, tree, time	3	130,993	91	8,284,642
war-poetry	2021-01-11	man, God, like, day, death	40	522,594	96	23,055,037
wooley	2021-01-11	barn, Fig, storage, building, service, building, old, building	24	615,618	81	170,706,274
alex-lite-epub	2021-01-16	man, Mr., God, good, time	81	4,253,812	80	159,415,639
apocalypticFiction-from-gutenberg	2021-01-16	man, look, long, woman, water	20	252,797	90	12,523,557
astronomy-from-gutenberg	2021-01-16	star, Jupiter, Mars, illustration, earth	37	2,769,438	69	99,761,261
australiaTravel-from-gutenberg	2021-01-16	South, Mr., Australia, New, Sydney	26	2,342,778	74	85,159,296
bible-from-gutenberg	2021-01-16	God, Lord, Christ, Jesus, Israel	512	25,428,781	84	871,814,755
biology-from-gutenberg	2021-01-16	Mr., form, Darwin, animal, Professor	63	5,043,838	63	180,365,052
books-from-gutenberg	2021-01-16	illustration, Mr., God, England, book	220	6,932,678	79	280,301,930
britainTravel-from-gutenberg	2021-01-16	Sir, England, St., Lord, London	19	2,262,686	75	85,453,835
chemistry-from-gutenberg	2021-01-16	water, Mr., Kennedy, Craig, acid	35	2,855,354	73	100,422,883
china-from-gutenberg	2021-01-16	China, chinese, Mr., man, Emperor	108	6,801,316	76	260,899,872
cicero-from-gutenberg	2021-01-16	Cicero, roman, man, Scipio, Scaevola	6	544,954	70	21,906,080
communism-from-gutenberg	2021-01-16	Russia, Government, Soviet, socialism, Revolution	18	1,093,983	62	42,298,200
computer-from-gutenberg	2021-01-16	internet, system, computer, University, New	21	902,246	78	43,260,485
cooking-from-gutenberg	2021-01-16	water, butter, egg, add, salt	154	8,634,710	86	282,261,469
democracy-from-gutenberg	2021-01-16	France, people, England, man, United	13	1,049,444	62	40,489,004
detectiveStories-from-gutenberg	2021-01-16	Mr., Mrs., Miss, man, London	522	31,072,629	87	1,168,625,275
europeTravel-from-gutenberg	2021-01-16	Paris, St., England, London, french	50	3,725,668	76	136,031,893
franceTravel-from-gutenberg	2021-01-16	France, french, St., Paris, England	102	7,221,446	73	267,800,665
gardening-from-gutenberg	2021-01-16	plant, garden, flower, June, illustration	42	2,204,428	81	81,629,055
germanyTravel-from-gutenberg	2021-01-16	german, St., England, illustration, great	20	1,302,826	75	51,515,944
greeceTravel-from-gutenberg	2021-01-16	roman, like, italian, great, Italy	6	493,950	70	21,457,847
indians-from-gutenberg	2021-01-16	Indians, Mr., River, man, Fort	315	20,851,363	80	731,053,571
internet-from-gutenberg	2021-01-16	internet, information, Network, system, site	10	269,980	73	16,706,294
irelandTravel-from-gutenberg	2021-01-16	Ireland, irish, Dublin, England, illustration	22	1,320,339	75	50,174,294
italyTravel-from-gutenberg	2021-01-16	Rome, Italy, italian, roman, St.	49	3,328,575	74	123,425,097
japan-from-gutenberg	2021-01-16	Japan, japanese, chinese, man, China	86	4,375,620	77	175,651,043
japanTravel-from-gutenberg	2021-01-16	japanese, Japan, little, chinese, man	13	872,600	77	34,339,845
jesusChrist-from-gutenberg	2021-01-16	God, Jesus, Lord, John, Christ	119	8,079,720	80	285,068,733
loveStories-from-gutenberg	2021-01-16	Mr., Miss, Mrs., God, good	493	39,487,094	87	1,363,111,331
ralphs-prachett	2021-01-16	look, good, Ankh, right, Morpork	45	4,013,109	94	175,448,837
scotlandTravel-from-gutenberg	2021-01-16	Scotland, Sir, England, man, Scott	11	791,824	80	32,441,631
socialism-from-gutenberg	2021-01-16	man, Mr., England, socialism, State	52	3,140,530	64	113,263,647
spainTravel-from-gutenberg	2021-01-16	Spain, spanish, San, illustration, french	22	1,750,724	74	68,190,266
switzerlandTravel-from-gutenberg	2021-01-16	Switzerland, St., great, illustration, French	11	589,760	76	24,369,760
usCivilWar-from-gutenberg	2021-01-16	General, Mr., Union, Colonel, New	428	29,701,362	77	1,041,136,343
utopias-from-gutenberg	2021-01-16	man, great, God, time, people	41	2,752,827	72	97,465,058
walesTravel-from-gutenberg	2021-01-16	Wales, England, Sydney, South, Port	9	833,202	68	32,651,737
warStories-from-gutenberg	2021-01-16	Mr., Captain, God, man, Mrs.	182	9,380,689	85	331,613,465
westernStories-from-gutenberg	2021-01-16	Mr., man, Mrs., Miss, look	339	22,068,105	89	872,048,750
